"'1 ","'2 ","'3 ","'4 ","'5 ","'6 ","'7 ","'8 ","'9 ","'10 ","'11 ","'12 ","'13 ","'14 ","'15 ","'16 ","'17 ","'18 ","'19 ",
"'41 ","'Älvkarleby kraftverk Sekundärstationen i Upp- ","'Uppsala ","'","'","'","'- ","'","'50 ","'70000/20000/6000 och 1500 ","'","'- ","'","'","'","'","'","'","'- ",
"'","'sala ","'","'Uppsala dieselcentral ","'d ","'- ","'500 ","'L ","'","'600 och 2X220 ","'","'","'","'","'","'1213 ","'10647 ","'- ","'281 406 ",
"'42 ","'Uppsala stads el. verk ","'","'Ab fran Alvkarleby kraftverk ","'S ","'- - ","'370 ","'3-fas ","'50 ","'6000/500 och 220 ","'","'47 ","'5780 ","'6400 ","'3024 ","'","'","'","'184 832 ",
"'43 ","'Gamla Uppsala el. distr.- foren. ","'Gamla Upp- sala ","'"" ","'- ","'","'- ","'","'50 ","'20000/1500/220 ","'120 ","'72 31 ","'342 116 ","'805 260 ","'149 60 ","'44 6 ","'998 326 ","'3500 2123 ","'93 720 ",
"'44 ","'Börje el. distr.-fören. ","'Borje ","'","'- ","'","'","'","'50 ","'1500/220 ","'- ","'72 ","'360 ","'410 ","'113 ","'6 ","'529 ","'3553 ","'98 065 ",
"'45 ","'Akerby-Bälinge el. distr.- foren. ","'Akerby, Bälinge ","'a "" ","'- ","'","'","'","'50 ","'20000/3000/220 ","'100 ","'","'","'","'","'","'","'","'",
"'46 ","'Björklinge el. distr.-fören. ","'Bjorklinge, ","'"" " ","'","'","'","'","'50 ","'20000/3000/220 ","'100 ","'63 ","'429 ","'300 ","'106 ","'12 ","'418 ","'3256 ","'91 408 ",
"'47 ","'Ullbolsta sãg, Krantz A.-B (Lena el. distr.-fören. ","'Skultuna Jumkil ","'Ullbolsta sag ","'V ","'","'","'L ","'","'220 ","'- ","'- ","'- 8 43 ","'33 ","'6 ","'1 ","'40 ","'- 389 ","'19 072 ",
"'48 ","'A.-B. Salsta gruvor Soderfors Bruks A.-B. (Brunna gruvor) m. fl. ","'Lena, Tensta ","'Ab.fran Älvkarleby kraftverk ","'","'","'","'3-fas ","'50 ","'20000/1500/220 ","'150 ","'","'4 30 ","'44 ","'","'4 - ","'48 ","'- - ","'115 411 ",
"'49 ","'Vattholma bruk ","'Lena ","'(Vattholm (Ab.fran Alvkarleby kraftverk ","'","'- ","'- ","'","'50 ","'20000/3000/500/220 ","'- ","'","'1 25 ","'41 170 ","'21 63 ","'- 12 ","'62 245 ","'2 149 ","'23 696 59 198 ",
"'50 ","'[Viksta el. distr.-foren. Viksta kvarn och sag ","'Viksta ","'","'","'","'","'","'50 ","'20000/3000/220 ","'120 ","'43 ","'293 1 ","'2 37 ","'","'1 ","'2 40 ","'- ","'68 650 ",
"'51 ","'Vaksala el. distr.-fören. ","'Vaksala ","'"" ","'","'","'","'","'50 ","'20000/3000/220 ","'120 ","'","'63 414 ","'265 200 ","'","'71 - 66 ","'336 11 277 ","'2676 1 551 ","'115493 94 704 ",
"'","'52 Fundbo el. distr.-fören. ","'Fundbo ","'"" " ","'","'- ","'","'","'50 ","'20000/3000/220 ","'100 ","'","'39 278 ","'310 ","'","'71 ","'7 388 ","'3211 ","'149 117 ",
"'","'53 Rasbo el. distr-fören. ","'Rasbo ","'"" ","'","'","'","'","'50 ","'20000/3000/220 ","'120 ","'","'42 139 ","'","'","'","'2 ","'80 860 ","'38 513 ",
"'","'54 Rasbokils el. distr.-fören ","'Rasbokil ","'"" " ","'- ","'","'","'","'50 ","'20000/1500/220 ","'","'60 ","'17 ","'53 ","'55 ","'23 ","'","'","'",
"'","'Bondkyrko södra el. distr.- fören. Nontuna el. distr.-fören. ","'","'","'","'","'","'","'","'","'","'","'25 ","'122 ","'60 ","'49 ","'6 ","'115 1494 35 ","'53 508 10 290 ",
"'","'55 Ultuna lantbruksinstitut, F. Gustafsson (Saby sãg och kvarn), Bergsbrunna tegelbruk m. fl. ","'Bondkyrka ","'","'","'","'","'","'50 ","'20000/3000/220 ","'","'300 ","'5 5 ","'64 110 ","'29 320 ","'6 45 ","'55 ","'420 ","'296 184 ",
